id,paper,q,marks,section,type_auto,topics_auto,cmd,has_figure,needs,text_preview,correction
9990-2024m-12-q2a,P1,q2a,2,A,,study.fagen,outline,,p1_type_empty,Outline what is meant by the term ‘positive reinforcement’. ,
9990-2024m-12-q3a,P1,q3a,2,A,,study.piliavin,define,,p1_type_empty,Identify two features of one of the victims. 1  ............,
9990-2024m-12-q3b,P1,q3b,2,A,,study.piliavin,explain,,p1_type_empty,Explain why this study is from the social approach in psycho,
9990-2024m-12-q4a,P1,q4a,2,A,aim,approach.biological,outline,,topic_lowconf,Outline one aim of the study.  .............................,
9990-2024m-12-q4b,P1,q4b,2,A,,approach.biological,,,topic_lowconf,‘Acting with awareness’ was measured by the ‘Five Facet Mind,
9990-2024m-12-q5a,P1,q5a,2,A,,approach.cognitive,outline,,topic_lowconf,Outline one assumption of the cognitive approach in psycholo,
9990-2024m-12-q5b,P1,q5b,,A,findings,study.pozzulo,explain,,marks_missing,Explain how one finding from the study by Pozzulo et al. (li,
9990-2024m-12-q5a,P1,q5a,2,A,,,,,topic_empty,.  .........................................................,
9990-2024m-12-q5c,P1,q5c,2,A,,study.pozzulo,outline,,p1_type_empty,"Outline the term ‘false positive responses’, using an exampl",
9990-2024m-22-q1a,P2,q1a,2,A,,method.correlation;concept.data_analysis,explain,,topic_lowconf,Explain what is meant by a ‘negative correlation’.  ........,
9990-2024m-22-q1b,P2,q1b,3,A,,method.experiment;concept.ethics,explain,,topic_lowconf,Explain one ethical advantage of a correlational study compa,
9990-2024m-22-q2,P2,q2,2,A,,concept.data_analysis,,,topic_lowconf,2 The memory score in the study by Andrade (doodling) was ca,
9990-2024m-22-q3a,P2,q3a,1,A,,,outline,,topic_empty,Outline one of these instructions.  ........................,
9990-2024m-22-q3b,P2,q3b,,A,,,explain,,topic_empty;marks_missing,Explain why the instruction you described in part,
9990-2024m-22-q3a,P2,q3a,2,A,,concept.validity,,,topic_lowconf,was important to the validity of the study.  ...............,
9990-2024m-22-q4a,P2,q4a,,A,,concept.controls,,Y,marks_missing;topic_lowconf;figure,Preferred interpersonal distance was measured in relation to,
9990-2024m-22-q4a_i,P2,q4a_i,4,A,,concept.data_analysis,,Y,topic_lowconf;figure,"Draw a bar chart of the data from Table 4.1, on the axes pro",
9990-2024m-22-q4a_ii,P2,q4a_ii,1,A,,concept.data_analysis,explain,Y,topic_lowconf;figure,Explain why a bar chart is the appropriate graph to use to p,
9990-2024m-22-q4a_iii,P2,q4a_iii,1,A,,,define,,topic_empty,State one conclusion from this data.  ......................,
9990-2024m-22-q4b,P2,q4b,2,A,,concept.ethics,suggest,,topic_lowconf,Suggest one ethical strength of using a computerised virtual,
9990-2024m-22-q5a_i,P2,q5a_i,1,A,,,define,,topic_empty,Define the term ‘population’.  .............................,
9990-2024m-22-q5a_ii,P2,q5a_ii,1,A,,,outline,,topic_empty,Outline one example of a population from a core study from t,
9990-2024m-22-q5b_i,P2,q5b_i,1,A,,concept.sampling,define,,topic_lowconf,Define the term ‘sample’.  .................................,
9990-2024m-22-q5b_ii,P2,q5b_ii,1,A,,concept.sampling,outline,,topic_lowconf,Outline one example of a sample from a core study from the s,
9990-2024m-22-q6,P2,q6,6,A,,,,,topic_empty,"6 Describe practice effects and fatigue effects, using any e",
9990-2024m-22-q7a,P2,q7a,3,A,,method.experiment;concept.data_analysis,,Y,topic_lowconf;figure,Draw a table that Kavi could use to collect his data. [3],
9990-2024m-22-q7b,P2,q7b,2,A,,method.experiment;concept.validity,,,topic_lowconf,Kavi chose a narrow street rather than a wide street for his,
9990-2024m-22-q7c,P2,q7c,2,A,,method.experiment,explain,,topic_lowconf,Explain why it was necessary for all the rubbish to be remov,
9990-2024m-22-q8a_i,P2,q8a_i,1,A,,method.observation,explain,,topic_lowconf,Explain whether Cerys is conducting a participant observatio,
9990-2024m-22-q8a_ii,P2,q8a_ii,,A,,,,,topic_empty;marks_missing,For the answer you have given in part,
