id,paper,q,topics,flags,text_preview
9990-2024m-12-q5a,P1,q5a,study.andrade;study.baron_cohen;study.pozzulo,approach_general:cognitive,Outline one assumption of the cognitive approach in psychology
9990-2024m-12-q9b,P1,q9b,study.andrade;study.pozzulo,multi_study,Explain one similarity and one difference between the study by Andrade
9990-2024w-11-q5a,P1,q5a,study.dement_kleitman;study.hassett;study.holzel,approach_general:biological,Outline two assumptions of the biological approach in psychology. 1
9990-2024w-11-q9b,P1,q9b,study.dement_kleitman;study.holzel,multi_study,Explain two differences between the study by Dement and Kleitman (slee
9990-2024w-12-q5a,P1,q5a,study.milgram;study.perry;study.piliavin,approach_general:social,Outline two assumptions of the social approach in psychology. 1
9990-2024w-12-q9b,P1,q9b,study.milgram;study.perry,multi_study,Explain two dif ferences between the study by Milgram (obedience) and 
9990-2024w-13-q5a,P1,q5a,study.bandura;study.fagen;study.saavedra_silverman,approach_general:learning,Outline two assumptions of the learning approach in psychology. 1
9990-2024w-13-q9b,P1,q9b,study.bandura;study.fagen,multi_study,Explain one similarity and one difference between the study by Fagen e
9990-2025m-12-q5a,P1,q5a,study.andrade;study.baron_cohen;study.pozzulo,approach_general:cognitive,Outline one assumption of the cognitive approach
9990-2025s-11-q5a,P1,q5a,study.dement_kleitman;study.hassett;study.holzel,approach_general:biological,Outline one assumption of the biological approach
9990-2025s-12-q5a,P1,q5a,study.bandura;study.fagen;study.saavedra_silverman,approach_general:learning,Outline one assumption of the learning approach
9990-2025s-12-q9b,P1,q9b,study.perry;study.piliavin,multi_study,Explain two differences between the study by Piliavin et al. (subway S
9990-2025s-13-q5a,P1,q5a,study.milgram;study.perry;study.piliavin,approach_general:social,Outline one assumption of the social approach
9990-2025w-12-q9b,P1,q9b,study.bandura;study.saavedra_silverman,multi_study,Explain one similarity and one dif ference between the study by Saaved
9990-2025w-13-q9b,P1,q9b,study.andrade;study.baron_cohen,multi_study,Explain two similarities between the study by Baron-Cohen et al. (eyes
9990-2026m-12-q3,P1,q3,study.andrade;study.holzel,multi_study,3 A local business wants to introduce activities that will help its wo
9990-2026m-12-q9b,P1,q9b,study.hassett;study.saavedra_silverman,multi_study,Explain one similarity and one difference between the study by Hassett
9990-2026s-11-q9b,P1,q9b,study.milgram;study.piliavin,multi_study,Explain two similarities between the study by Milgram (obedience) and 
9990-2026s-12-q9b,P1,q9b,study.dement_kleitman;study.holzel,multi_study,Explain one similarity and one difference between the study by Hölzel 
9990-2026s-13-q9b,P1,q9b,study.bandura;study.perry,multi_study,Explain one similarity and one difference between the study by Bandura
